               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096615,            0.081836,                   0,             0.44201,             0.38981,             0.35764,             0.13209,            0.070107,            0.062677,                   0,            0.070214,           0.0033095,           0.0033095
                   1,            0.077216,            0.073081,                   0,             0.48302,             0.45378,             0.42051,             0.17517,            0.065482,            0.060313,                   0,            0.039776,           0.0062044,           0.0062044
                   2,             0.07232,             0.06978,                   0,             0.50507,             0.43676,             0.40073,             0.16648,             0.06127,            0.064171,                   0,           0.0088974,           0.0086593,           0.0086593
                   3,            0.067645,            0.066174,                   0,             0.75562,              0.4787,             0.57859,             0.26426,            0.055453,            0.063176,                   0,             0.00802,             0.00802,             0.00802
                   4,             0.06352,            0.064458,                   0,             0.75763,             0.42076,             0.50309,             0.24322,            0.054673,            0.067918,                   0,             0.00802,             0.00802,             0.00802
                   5,             0.06017,            0.064496,                   0,             0.79969,             0.42665,             0.52392,              0.2796,            0.052648,            0.069487,                   0,             0.00736,             0.00736,             0.00736
                   6,            0.058041,            0.062672,                   0,             0.76021,             0.39457,             0.48437,             0.25671,            0.052767,            0.075051,                   0,              0.0067,              0.0067,              0.0067
                   7,            0.056366,             0.06141,                   0,             0.79751,             0.41688,             0.51651,             0.28022,            0.052017,            0.072642,                   0,             0.00604,             0.00604,             0.00604
                   8,            0.054626,            0.059934,                   0,             0.76294,             0.40213,             0.49607,             0.26363,            0.053067,            0.075396,                   0,             0.00538,             0.00538,             0.00538
                   9,            0.053894,            0.059531,                   0,             0.76275,             0.38431,             0.48383,             0.25868,            0.053429,            0.083164,                   0,             0.00472,             0.00472,             0.00472
                  10,             0.05285,            0.058106,                   0,             0.80488,             0.38144,             0.47346,              0.2608,            0.052877,            0.076287,                   0,             0.00406,             0.00406,             0.00406
                  11,            0.052283,            0.057728,                   0,             0.77518,             0.39268,             0.48053,             0.26739,             0.05305,            0.076081,                   0,              0.0034,              0.0034,              0.0034
                  12,            0.051317,            0.056336,                   0,             0.77515,             0.37493,             0.45995,             0.25709,            0.054055,            0.081053,                   0,             0.00274,             0.00274,             0.00274
                  13,            0.050858,            0.057009,                   0,             0.77497,              0.3819,             0.45978,             0.25478,             0.05395,            0.078499,                   0,             0.00208,             0.00208,             0.00208
                  14,            0.050891,             0.05565,                   0,             0.78685,             0.37539,             0.45929,             0.25767,            0.053942,            0.080146,                   0,             0.00142,             0.00142,             0.00142
